"Column Name","Data Type","Description","Example"
"MM/DD/YY","Date","Date of the event (MM/DD/YY)","6/7/1962"
"County Name","String","Name of the county where the event occurred","MIAMI-DADE CO."
"HAIL SIZE (INCHES)","Float","Diameter of hail in inches","1"
"BEGIN_LOCATION","String","Named location where the event began","KENDALL"
"BEGIN_TIME","String","Local (or unknown) time the event began","1449"
"INJURIES_DIRECT","Integer","Number of direct injuries caused by the event","0"
"DAMAGE_PROPERTY_NUM","Integer","Estimated property damage (in dollars)","500"
"DAMAGE_CROPS_NUM","Integer","Estimated crop damage (in dollars)","0"
"CZ_TIMEZONE","String","Timezone abbreviation for the event area","EST-5"
"MAGNITUDE_TYPE","String","Type of measured storm magnitude (e.g., EG, MG, blank)",""
"CZ_FIPS","String or Integer","FIPS code for the county or zone","86"
"WFO","String","NWS Weather Forecast Office ID","MFL"
"SOURCE","String","Source of the event report","Public"
"FLOOD_CAUSE","String","Cause of any flood event (if applicable)","Flash Flood"
"TOR_LENGTH","Float","Tornado path length in miles (if applicable)","1.0"
"TOR_WIDTH","Integer","Tornado maximum width in yards (if applicable)","75"
"BEGIN_RANGE","Integer","Distance from a reference point at event start","1"
"BEGIN_AZIMUTH","String","Compass direction of start location (N, E, SSW, etc.)","ESE"
"END_RANGE","Integer","Distance from a reference point at event end","1"
"END_AZIMUTH","String","Compass direction of end location (N, E, SSW, etc.)","ESE"
"END_LOCATION","String","Named location where event ended","KENDALL"
"END_TIME","String","Local (or unknown) time the event ended","1449"
"BEGIN_LAT","Float","Latitude of event’s start location","25.67"
"BEGIN_LON","Float","Longitude of event’s start location","-80.3"
