DATE,County Name,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_TIME,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,CZ_TIMEZONE,SOURCE,,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,BEGIN_LOCATION,END_LOCATION,END_DATE,END_TIME,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
2/26/1952,HENDRY,EF0,26.45,-81.05,26.47,-81.05,,0,0,,,EST-5,NWS Storm Survey,,,,,,,,,,10/21/2024,,,,123
8/16/1952,MIAMI-DADE,EF0,25.72,-80.87,25.85,-80.87,,0,0,,,EST-5,NWS Storm Survey,,,,,,,,,,10/17/2024,,,,119
9/20/1953,GLADES,EF1,27.08,-81.11,26.99,-81.08,,0,0,,,EST-5,NWS Storm Survey,,,,,,,,,,10/14/2024,,,,116
11/8/1953,GLADES,EF1,26.82,-81.03,26.58,-80.96,,0,0,,,EST-5,NWS Storm Survey,,,,,,,,,,10/15/2024,,,,117
4/3/1954,GLADES,EF1,26.5,-81.12,26.91,-81.25,,0,0,,,EST-5,NWS Storm Survey,,,,,,,,,,10/16/2024,,,,118
6/23/1954,HENDRY,EF1,26.43,-81.04,26.44,-81.02,,0,0,,,EST-5,NWS Storm Survey,,,,,,,,,,10/22/2024,,,,124
7/8/1954,HENDRY,EF1,26.43,-81.01,26.42,-81.04,,0,0,,,EST-5,NWS Storm Survey,,,,,,,,,,10/23/2024,,,,125
9/22/1954,MIAMI-DADE,EF1,25.48,-80.51,25.43,-80.52,,0,0,,,EST-5,NWS Storm Survey,,,,,,,,,,10/18/2024,,,,120
4/2/1955,PALM BEACH,EF1,26.95,-80.61,26.73,-80.59,,0,0,,,EST-5,NWS Storm Survey,,,,,,,,,,10/10/2024,,,,112
5/30/1955,GLADES,EF3,26.89,-81.04,27.11,-81.08,,0,3,,,EST-5,NWS Storm Survey,,,,,,,,,,10/13/2024,,,,115
7/29/1955,PALM BEACH,EF3,26.56,-80.33,26.96,-80.19,,0,7,,,EST-5,NWS Storm Survey,,,,,,,,,,10/9/2024,,,,111
8/2/1955,BROWARD,EFU,26.13,-80.53,26.19,-80.55,,0,0,,,EST-5,NWS Storm Survey,,,,,,,,,,10/19/2024,,,,121
