"Column Name","Data Type","Description","Example"
"MM/DD/YY","Date","Event date in MM/DD/YY format","4/29/1955"
"County Name","String","Name of the county where the event occurred","BROWARD CO."
"MAGNITUDE (Knots)","Integer","Measured wind speed (knots)","80"
"Converted to MPH","Float","Wind speed converted to miles per hour (mph)","92.0624"
"BEGIN_LOCATION","String","Named location where event began","DAVIE"
"BEGIN_TIME","String","Local/known time the event started","1512"
"DEATHS_DIRECT","Integer","Number of direct fatalities caused by the event","0"
"INJURIES_DIRECT","Integer","Number of direct injuries caused by the event","0"
"DAMAGE_PROPERTY_NUM","Integer","Estimated property damage (in dollars)","50000"
"DAMAGE_CROPS_NUM","Integer","Estimated crop damage (in dollars)","0"
"CZ_TIMEZONE","String","Timezone abbreviation for the event area","EST-5"
"MAGNITUDE_TYPE","String","Type of measured magnitude (EG, MG, E, etc.)","EG"
"EPISODE_ID","String or Integer","Identifier for the broader weather event/episode","1175927"
"CZ_TYPE","String","County Zone Type (C, Z, etc.)","C"
"CZ_FIPS","String or Integer","FIPS code for county/zone","99"
"WFO","String","NWS Weather Forecast Office identifier","MFL"
"INJURIES_INDIRECT","Integer","Number of indirect injuries","0"
"DEATHS_INDIRECT","Integer","Number of indirect fatalities","0"
"SOURCE","String","Source of the storm/wind measurement","NWS Storm Survey"
"FLOOD_CAUSE","String","Cause of any flood event (if applicable)","Flash Flood"
"TOR_LENGTH","Float","Tornado path length (in miles) if tornado event","0.5"
"TOR_WIDTH","Integer","Tornado maximum width (in yards) if tornado event","75"
"BEGIN_RANGE","Integer","Distance from a reference point at event start","5"
"BEGIN_AZIMUTH","String","Compass azimuth at event start (N, NE, SSW, etc.)","SSW"
"END_RANGE","Integer","Distance from a reference point at event end","5"
"END_AZIMUTH","String","Compass azimuth at event end (N, NE, SSW, etc.)","SSW"
"END_LOCATION","String","Named location where event ended","POMPANO BEACH"
"END_TIME","String","Local/known time the event ended","2030"
"BEGIN_LAT","Float","Latitude of the event start point","26.07"
"BEGIN_LON","Float","Longitude of the event start point","-80.23"
"END_LAT","Float","Latitude of the event end point","26.07"
"END_LON","Float","Longitude of the event end point","-80.23"
"EVENT_NARRATIVE","String","Narrative text describing the specific event","Severe thunderstorm winds uprooted trees."
"EPISODE_NARRATIVE","String","Narrative text describing the broader weather episode","A strong cold front moved through..."
