DATE,County Name,MAGNITUDE (Knots),Converted to MPH,BEGIN_LOCATION,BEGIN_TIME,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,
4/29/1955,BROWARD CO.,113,130.03814,,1400,0,0,0,0,CST,,,C,11,,0,0,,,0,0,0,,0,,,1400,26.1,-80.18,,,,,
8/11/1963,PALM BEACH CO.,100,115.078,,1430,0,0,0,0,CST,,,C,99,,0,0,,,0,0,0,,0,,,1430,26.6,-80.08,,,,,
4/11/1957,BROWARD CO.,95,109.3241,,1555,0,0,0,0,CST,,,C,11,,0,0,,,0,0,0,,0,,,1555,26.1,-80.18,,,,,
5/13/1975,BROWARD CO.,88,101.26864,,1609,0,0,0,0,CST,,,C,11,,0,0,,,0,0,0,,0,,,1609,26.07,-80.15,,,,,
4/10/1956,BROWARD CO.,87,100.11786,,1700,0,0,0,0,CST,,,C,11,,0,0,,,0,0,0,,0,,,1700,26,-80.28,,,,,
2/13/1995,MIAMI-DADE CO.,86,98.96708,Miami,1449,0,0,5000000,0,EST,,,C,86,,0,0,,,0,0,0,,0,,,1449,,,,,"A twisting downdraft damaged four commercial jets, several loading platforms, and a catering truck at concourse G at Miami International Airport. Damage was estimated at $5-million. An official observation of 61 mph was made about one and one-half miles northwest of the damage sight with winds estimated at 100 mph at concourse G.",,
11/25/1959,BROWARD CO.,80,92.0624,,140,0,0,0,0,CST,,,C,11,,0,0,,,0,0,0,,0,,,140,26.1,-80.18,,,,,
8/25/1997,BROWARD CO.,80,92.0624,DAVIE,1512,0,0,0,0,EST,,2069276,C,11,MFL,0,0,,,,,,,,,DAVIE,1530,26.07,-80.23,26.07,-80.23,trees down between stirling/griffin rd w of I75 reported by tv crew.,,
4/28/1999,BROWARD CO.,80,92.0624,FT LAUDERDALE,1127,0,0,0,0,EST,,1501719,C,11,MFL,0,0,GOVT OFFICIAL,,,,35,W,35,W,FT LAUDERDALE,1127,26.13,-80.7,26.13,-80.7,,A Park Ranger reported wind gusts of 75-80 mph and hail of unknown size.,
3/17/2003,BROWARD CO.,80,92.0624,POMPANO BEACH,2030,0,0,25000,0,EST,EG,1147899,C,11,MFL,0,0,GENERAL PUBLIC,,,,,,,,POMPANO BEACH,2030,26.23333,-80.1167,26.23333,-80.1167,"Severe thunderstorm winds damaged docks, blew boats off of docks and uprooted trees.",,
